	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Rubrimonas	2	40	4	6	0	0	0	0	0	0	0	0	6	19	0	8	0	8	10	0	0	0	0	17	14	4	12	4	100	84	0	0	0	0	12	42	0	0	6	0	0	0	0
Rubripirellula	4	739	91	54	16	0	0	0	0	6	0	42	165	79	53	696	0	48	4	20	22	122	31	579	433	271	839	8	963	2202	0	6	321	431	525	3373	0	18	25	0	2879	28	26
Rubritalea	4	678	64	359	0	6	0	0	0	0	6	148	35	52	12	85	0	8	0	0	13	10	2	546	306	287	398	85	266	35	763	20	552	230	353	6513	12	42	2	0	830	36	129
Rubritepida	0	0	0	0	0	36	6	32	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	2	0	0	2	6	0	10	0	0	0	0	0	0	0
Rubrivirga	20	14	2	0	0	0	0	0	0	0	0	0	4	2	0	0	24	70	5	0	0	0	0	2	2	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	57	76
Rubrivivax	0	108	0	65	0	302	6	2	0	68	0	32	34	40	22	109	0	118	0	0	0	0	0	4	6	6	6814	3	0	4	0	0	30	32	23	62	0	0	0	0	0	0	0
Rubrobacter	10	379	22	18	0	330	283	22010	25	28	0	16	8	10	0	0	0	12	6	1	2	46	8	0	4	0	151	0	128	50	0	2	162	886	213	0	0	0	4	0	0	0	0
Rubrobacteraceae bacterium (no genus in NCBI)	0	6	0	0	0	31	55	3922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0
Rudaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rudaeicoccus	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rudanella	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruegeria	1255	29623	2923	2761	1161	580	259	42	31	117	186	2049	6029	5115	2208	19497	260	2458	726	1393	2961	4916	1794	58733	39417	27863	6197	960	12143	20314	673	82944	127206	62429	202509	1640170	191	5127	1821	0	90047	16250	31212
Rufibacter	2	12	0	276	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	2	4	0	28	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
Ruficoccus	115	188	8	0	0	0	0	0	0	0	0	6	49	42	19	0	0	0	0	22	11	14	2	1	6	0	15	0	0	0	0	0	74	97	250	0	0	0	0	0	0	8	17
Rugamonas	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Rugosibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Rugosimonospora	0	31	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	0	0	0	0	0	8	0	0	0	0
Ruminiclostridium	0	6	0	943	0	387	4	11	23	0	0	0	0	0	0	67	0	0	0	0	0	6	0	0	0	0	0	0	31	2	0	0	0	0	0	15	0	0	0	0	0	0	0
Ruminococcus	0	0	16	179	0	667	30	212	59	27	23	77	0	0	0	144	10	16	0	18	36	83	174	6	0	23	50	0	0	0	0	26	0	10	24	18	0	0	0	0	53	0	0
Rummeliibacillus	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella	0	10	0	44	2	6	6	0	0	0	0	6	4	2	2	21	0	14	17	4	16	36	14	9	11	2	8	0	0	0	30	0	23	4	6	22	0	0	0	0	0	14	22
Saccharibacillus	0	0	0	0	0	2183	66	111	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharicrinis	1463	13566	1740	3067	68	0	0	0	1376	0	57	293	19	27	4	33	885	4314	1889	38	130	279	139	133	80	51	132	117	0	9	0	24	198	40	58	43	0	83	0	275	1403	568	3603
Saccharomonospora	0	47	3	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Saccharophagus	0	0	0	79	0	27	155	8	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	6	0	6	456	2	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0
Saccharopolyspora	0	6	0	67	0	14	8	4	0	70	67	10	6	11	2	0	0	0	0	0	0	0	0	6	8	0	91	37	184	26	0	0	0	11	0	25	0	0	0	0	37	0	0
Saccharospirillum	26	16	0	6	0	0	0	0	0	20	0	0	4	4	2	0	4	0	0	0	0	0	0	23	21	28	0	0	0	20	0	0	0	0	0	16	0	0	0	0	0	0	0
Saccharothrix	0	0	0	0	0	22	30	0	0	222	31	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	30	43	0	0	24	24	8	9	0	0	12	0	0	6	14
Saezia	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Sagittula	159	2160	887	59	0	0	0	0	0	0	0	22	0	0	0	48	0	0	0	0	22	0	10	9	5	1	14	0	266	50	0	10	0	3	3	78	10	0	0	0	0	123	82
Salana	0	0	0	0	0	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Salaquimonas	45	2478	307	15	1412	0	0	0	0	12	0	0	1368	474	380	316	8	17	0	782	512	2298	1304	944	1103	499	123	0	585	1735	0	0	627	2181	145	428	4	2	22	0	89	622	527
Salegentibacter	0	18	14	0	2	0	0	0	0	0	0	8	0	0	0	52	0	0	0	0	0	18	4	0	0	0	16	0	0	139	89	0	23	17	23	0	0	0	0	0	8	37	0
Salibacter	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	30	0	4	0	0	0	0	0	0	28	4
Salifodinibacter	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Salinarimonadaceae bacterium (no genus in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinarimonas	0	0	0	0	0	8	8	4	0	16	0	0	8	6	2	0	0	0	0	0	0	0	0	22	12	14	11	0	0	0	0	0	0	0	6	62	0	0	0	0	36	44	92
Salinibacter	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinibacterium	0	632	12	20	0	14	55	4	0	6	0	0	16	4	4	0	0	47	4	0	0	0	0	0	0	0	507	2	0	6	0	0	2	2	1	0	0	0	0	0	9	0	0
Salinibius	20	267	12	142	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinicoccus	0	0	0	0	0	2	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
