	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Unclassified Chlorobi	106	3074	185	63	2	9	5	18	113	31	65	62	13	24	8	122	0	42	0	12	67	1747	24	119	132	64	105	22	146	95	23	8	164	59	81	485	29	26	0	32	100	116	123
Unclassified Chlorobia	4	112	10	30	0	41	2	10	0	0	0	56	0	0	0	0	0	6	0	0	0	0	0	40	34	18	8	0	0	0	8	0	66	22	113	83	6	0	0	0	0	0	0
Unclassified Chlorobiales	64	343	37	54	0	0	0	0	0	0	0	14	16	23	20	17	0	0	0	0	0	0	0	22	5	4	54	18	0	8	0	0	141	82	217	10	0	0	0	0	0	10	0
Unclassified Chloroflexales	29	604	33	287	8	12	10	62	0	311	0	14	51	71	19	208	0	58	6	7	6	28	0	124	85	42	1280	22	57	71	0	2	137	79	56	263	6	0	8	0	100	10	359
Unclassified Chloroflexi	9280	974508	37368	7789	16802	8838	13383	22394	587	1681	1191	8085	70727	48086	27031	93692	577	16650	4369	9675	6184	33973	9521	45940	37669	18532	670208	16825	112492	154553	658	1445	41185	79607	107687	167954	36622	328	1946	0	242699	3835	213380
Unclassified Chloroflexia	31	1482	44	368	6	899	1016	9109	72	238	14	268	25	86	10	95	0	20	0	16	22	61	102	146	105	45	1625	41	336	859	0	4	330	422	154	187	14	14	50	0	452	67	153
Unclassified Chromatiales	484	9704	963	3191	533	39	106	8	6	39	0	453	7149	8273	3317	29761	1683	8814	875	890	1409	3765	1315	18948	13287	9518	18731	1039	2450	4977	4	851	17189	8811	7200	30210	106	236	139	0	154	62	660
Unclassified Chroococcales	24	277	12	387	97	55	14	69	0	101	10	60	8740	26053	4220	19083	0	38	30	11412	4068	7047	2656	37133	36178	26922	25953	2946	448	5794	9	45	51315	23086	2086	297	161	0	0	11	53	0	10
Unclassified Chroococcidiopsidales	0	0	0	0	0	1758	564	2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	14	5	295	0	0	17	0	0	22	860	6	8	0	0	0	0	0	0	0
Unclassified Chrysiogenales	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12	6	0	0	2	8	3	0	0	0	0	0	0	0	0
Unclassified Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0
Unclassified Chthoniobacterales	14	1272	69	712	60	184	115	4	0	45	0	257	177	122	66	217	0	2	4	23	15	218	42	28	28	20	944	0	0	32	0	108	96	194	17	64	0	0	8	0	0	9	65
Unclassified Chthonomonadales	10	48	0	0	0	0	0	0	0	0	0	0	17	16	3	0	0	10	0	0	0	0	0	5	2	0	24	57	0	12	0	0	0	0	0	0	0	0	0	0	0	0	10
Unclassified Chthonomonadetes	0	0	0	0	0	0	0	0	0	0	14	0	11	8	0	15	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	4	3	0	0	0	0	0	38	6	0
Unclassified Clostridia	2015	17361	1467	24554	53	647957	8574	117026	19311	15032	35605	59079	338	923	223	118475	6699	1719	42149	3016	3274	12391	18331	24415	29904	11943	52237	12709	773	34991	9461	850	11083	1769	14662	113861	13690	857	1193	6044	123983	92591	199991
Unclassified Coprothermobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Unclassified Coriobacteriales	15	0	0	23	0	60	4	6	6	24	28	0	12	12	8	71	0	0	0	0	0	6	0	10	7	2	97	0	0	0	229	4	33	7	14	0	0	0	0	0	425	77	777
Unclassified Coriobacteriia	2	44	20	35	6	56	25	8	0	0	0	69	0	0	2	18	2	0	6	2	0	14	4	8	14	2	367	90	25	46	0	0	8	0	0	36	0	0	0	0	957	344	1571
Unclassified Corynebacteriales	608	33509	1086	536	204	4310	6450	3079	72	3454	1279	5396	909	550	288	1440	82	716	206	137	100	800	208	1114	749	525	8034	129	2143	3158	42	190	1020	1417	1167	2059	23	270	305	0	2064	404	381
Unclassified Cryptosporangiales	0	23	0	0	0	8	4	0	0	37	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Culicoidibacterales	0	0	0	0	0	2	1	33	0	0	0	26	0	0	0	0	0	2	8	39	0	0	0	0	0	0	0	1	0	67	0	0	0	0	0	0	0	0	23	0	75	23	144
Unclassified Cyanobacteria	16125	40370	15508	17683	614	33625	18025	45435	5354	6552	3883	21152	35437	90855	21385	59822	3562	12702	8300	34694	14073	26621	15393	105046	97838	70844	173886	15000	41052	241207	1673	13449	174646	111953	71904	59101	7840	4379	7482	10	11202	7501	15795
Unclassified Cytophagales	1112	9852	2102	5318	255	265	217	252	317	416	2729	7152	2300	3416	1113	31428	147	1135	1116	933	1734	6389	1673	31401	22158	12709	4598	3351	2520	11094	759	1170	23640	7901	10063	12510	3499	2096	154	110	8058	9469	9113
Unclassified Cytophagia	719	3606	1036	2083	65	164	189	101	695	359	910	5952	414	556	177	7531	197	1062	939	262	452	1726	518	7872	5838	4119	2124	814	792	2975	528	1101	6933	1946	2516	3854	675	1407	100	124	1404	3822	1836
Unclassified Deferribacterales	3	156	0	0	4	0	0	0	0	0	0	0	6	6	0	0	0	0	0	4	0	16	2	0	0	0	0	0	0	4	0	0	0	0	0	27	0	0	0	0	0	0	0
Unclassified Deferribacteres	3	437	0	0	0	8	16	4	0	0	0	38	0	0	6	0	0	0	0	0	0	0	0	33	29	44	36	0	0	0	0	0	1	8	3	28	0	0	0	50	13	6	34
Unclassified Dehalococcoidales	8	69	0	0	0	0	0	0	0	0	0	0	0	4	0	30	0	4	2	0	2	10	2	6	8	2	40	0	0	51	0	8	9	4	18	64	0	0	0	0	0	0	0
Unclassified Dehalococcoidia	51	1085	46	18	0	10	14	1727	24	0	30	52	44	89	17	176	6	127	41	0	10	29	22	304	269	161	735	8	42	240	0	127	314	269	182	475	0	25	2	0	145	35	190
Unclassified Deinococcales	8	212	22	17	0	5	12	25	0	14	0	8	24	21	10	0	0	66	4	2	0	20	0	15	0	2	81	0	26	10	0	0	4	8	0	16	0	0	0	0	44	14	14
